北千住,0
南千住,3
三ノ輪,5
入谷,7
上野,9
仲御徒町,10
秋葉原,12
小伝馬町,14
人形町,15
茅場町,18
八丁堀,19
築地,21
東銀座,23
銀座,25
日比谷,26
霞ヶ関,29
神谷町,31
六本木,34
広尾,37
恵比寿,40
中目黒,43
